,Week,Name1,Score1,Name2,Score2,Type
0,1,Team Fjöllin,95.32,I Am Beyonce Always,133.84,Regular
1,1,The Big Chungii,99.76,The Billyonaires,86.8,Regular
2,1,Wut da mup,82.16,Team Chad,65.44,Regular
3,1,Clink's Team,78.68,The Brady Bunch,104.56,Regular
4,1,The Devil and Daniel Jones,69.64,Tuanon,123.64,Regular
5,2,The Big Chungii,148.76,Team Fjöllin,138.86,Regular
6,2,I Am Beyonce Always,108.0,Wut da mup,110.98,Regular
7,2,The Billyonaires,102.42,Clink's Team,99.48,Regular
8,2,Team Chad,84.76,The Devil and Daniel Jones,85.04,Regular
9,2,The Brady Bunch,89.4,Tuanon,95.24,Regular
10,3,Team Fjöllin,124.52,Wut da mup,124.98,Regular
11,3,Clink's Team,128.06,The Big Chungii,101.48,Regular
12,3,The Devil and Daniel Jones,149.96,I Am Beyonce Always,139.18,Regular
13,3,Tuanon,101.96,The Billyonaires,67.68,Regular
14,3,The Brady Bunch,106.8,Team Chad,93.92,Regular
15,4,Clink's Team,142.7,Team Fjöllin,83.28,Regular
16,4,Wut da mup,137.24,The Devil and Daniel Jones,81.38,Regular
17,4,The Big Chungii,63.64,Tuanon,131.9,Regular
18,4,I Am Beyonce Always,104.82,The Brady Bunch,113.88,Regular
19,4,The Billyonaires,150.06,Team Chad,94.8,Regular
20,5,Team Fjöllin,103.92,The Devil and Daniel Jones,69.24,Regular
21,5,Tuanon,99.48,Clink's Team,97.22,Regular
22,5,The Brady Bunch,111.48,Wut da mup,102.84,Regular
23,5,Team Chad,176.06,The Big Chungii,56.76,Regular
24,5,The Billyonaires,116.32,I Am Beyonce Always,163.34,Regular
25,6,Tuanon,78.22,Team Fjöllin,102.58,Regular
26,6,The Devil and Daniel Jones,121.34,The Brady Bunch,119.78,Regular
27,6,Clink's Team,112.4,Team Chad,78.56,Regular
28,6,Wut da mup,96.62,The Billyonaires,113.6,Regular
29,6,The Big Chungii,97.24,I Am Beyonce Always,101.54,Regular
30,7,Team Fjöllin,66.34,The Brady Bunch,95.96,Regular
31,7,Team Chad,98.4,Tuanon,99.86,Regular
32,7,The Billyonaires,129.06,The Devil and Daniel Jones,113.96,Regular
33,7,I Am Beyonce Always,148.26,Clink's Team,92.46,Regular
34,7,The Big Chungii,103.8,Wut da mup,106.88,Regular
35,8,Team Chad,119.46,Team Fjöllin,119.56,Regular
36,8,The Brady Bunch,107.22,The Billyonaires,108.46,Regular
37,8,Tuanon,96.68,I Am Beyonce Always,120.24,Regular
38,8,The Devil and Daniel Jones,124.5,The Big Chungii,114.76,Regular
39,8,Clink's Team,126.02,Wut da mup,84.98,Regular
40,9,Team Fjöllin,0.0,The Billyonaires,0.0,Regular
41,9,I Am Beyonce Always,0.0,Team Chad,0.0,Regular
42,9,The Big Chungii,0.0,The Brady Bunch,0.0,Regular
43,9,Wut da mup,0.0,Tuanon,0.0,Regular
44,9,Clink's Team,0.0,The Devil and Daniel Jones,0.0,Regular
45,10,I Am Beyonce Always,0.0,Team Fjöllin,0.0,Regular
46,10,The Billyonaires,0.0,The Big Chungii,0.0,Regular
47,10,Team Chad,0.0,Wut da mup,0.0,Regular
48,10,The Brady Bunch,0.0,Clink's Team,0.0,Regular
49,10,Tuanon,0.0,The Devil and Daniel Jones,0.0,Regular
50,11,Team Fjöllin,0.0,The Big Chungii,0.0,Regular
51,11,Wut da mup,0.0,I Am Beyonce Always,0.0,Regular
52,11,Clink's Team,0.0,The Billyonaires,0.0,Regular
53,11,The Devil and Daniel Jones,0.0,Team Chad,0.0,Regular
54,11,Tuanon,0.0,The Brady Bunch,0.0,Regular
55,12,Wut da mup,0.0,Team Fjöllin,0.0,Regular
56,12,The Big Chungii,0.0,Clink's Team,0.0,Regular
57,12,I Am Beyonce Always,0.0,The Devil and Daniel Jones,0.0,Regular
58,12,The Billyonaires,0.0,Tuanon,0.0,Regular
59,12,Team Chad,0.0,The Brady Bunch,0.0,Regular
60,13,Wut da mup,0.0,The Billyonaires,0.0,Regular
61,13,Tuanon,0.0,Team Chad,0.0,Regular
62,13,I Am Beyonce Always,0.0,Team Fjöllin,0.0,Regular
63,13,The Devil and Daniel Jones,0.0,The Big Chungii,0.0,Regular
64,13,The Brady Bunch,0.0,Clink's Team,0.0,Regular
65,1,Team Fjöllin,95.32,I Am Beyonce Always,133.84,Regular
66,1,The Big Chungii,99.76,The Billyonaires,86.8,Regular
67,1,Wut da mup,82.16,Team Chad,65.44,Regular
68,1,Clink's Team,78.68,The Brady Bunch,104.56,Regular
69,1,The Devil and Daniel Jones,69.64,Tuanon,123.64,Regular
70,2,The Big Chungii,148.76,Team Fjöllin,138.86,Regular
71,2,I Am Beyonce Always,108.0,Wut da mup,110.98,Regular
72,2,The Billyonaires,102.42,Clink's Team,99.48,Regular
73,2,Team Chad,84.76,The Devil and Daniel Jones,85.04,Regular
74,2,The Brady Bunch,89.4,Tuanon,95.24,Regular
75,3,Team Fjöllin,124.52,Wut da mup,124.98,Regular
76,3,Clink's Team,128.06,The Big Chungii,101.48,Regular
77,3,The Devil and Daniel Jones,149.96,I Am Beyonce Always,139.18,Regular
78,3,Tuanon,101.96,The Billyonaires,67.68,Regular
79,3,The Brady Bunch,106.8,Team Chad,93.92,Regular
80,4,Clink's Team,142.7,Team Fjöllin,83.28,Regular
81,4,Wut da mup,137.24,The Devil and Daniel Jones,81.38,Regular
82,4,The Big Chungii,63.64,Tuanon,131.9,Regular
83,4,I Am Beyonce Always,104.82,The Brady Bunch,113.88,Regular
84,4,The Billyonaires,150.06,Team Chad,94.8,Regular
85,5,Team Fjöllin,103.92,The Devil and Daniel Jones,69.24,Regular
86,5,Tuanon,99.48,Clink's Team,97.22,Regular
87,5,The Brady Bunch,111.48,Wut da mup,102.84,Regular
88,5,Team Chad,176.06,The Big Chungii,56.76,Regular
89,5,The Billyonaires,116.32,I Am Beyonce Always,163.34,Regular
90,6,Tuanon,78.22,Team Fjöllin,102.58,Regular
91,6,The Devil and Daniel Jones,121.34,The Brady Bunch,119.78,Regular
92,6,Clink's Team,112.4,Team Chad,78.56,Regular
93,6,Wut da mup,96.62,The Billyonaires,113.6,Regular
94,6,The Big Chungii,97.24,I Am Beyonce Always,101.54,Regular
95,7,Team Fjöllin,66.34,The Brady Bunch,95.96,Regular
96,7,Team Chad,98.4,Tuanon,99.86,Regular
97,7,The Billyonaires,129.06,The Devil and Daniel Jones,113.96,Regular
98,7,I Am Beyonce Always,148.26,Clink's Team,92.46,Regular
99,7,The Big Chungii,103.8,Wut da mup,106.88,Regular
100,8,Team Chad,119.46,Team Fjöllin,119.56,Regular
101,8,The Brady Bunch,107.22,The Billyonaires,108.46,Regular
102,8,Tuanon,96.68,I Am Beyonce Always,120.24,Regular
103,8,The Devil and Daniel Jones,124.5,The Big Chungii,114.76,Regular
104,8,Clink's Team,126.02,Wut da mup,84.98,Regular
105,9,Team Fjöllin,0.0,The Billyonaires,0.0,Regular
106,9,I Am Beyonce Always,0.0,Team Chad,0.0,Regular
107,9,The Big Chungii,0.0,The Brady Bunch,0.0,Regular
108,9,Wut da mup,0.0,Tuanon,0.0,Regular
109,9,Clink's Team,0.0,The Devil and Daniel Jones,0.0,Regular
110,10,I Am Beyonce Always,0.0,Team Fjöllin,0.0,Regular
111,10,The Billyonaires,0.0,The Big Chungii,0.0,Regular
112,10,Team Chad,0.0,Wut da mup,0.0,Regular
113,10,The Brady Bunch,0.0,Clink's Team,0.0,Regular
114,10,Tuanon,0.0,The Devil and Daniel Jones,0.0,Regular
115,11,Team Fjöllin,0.0,The Big Chungii,0.0,Regular
116,11,Wut da mup,0.0,I Am Beyonce Always,0.0,Regular
117,11,Clink's Team,0.0,The Billyonaires,0.0,Regular
118,11,The Devil and Daniel Jones,0.0,Team Chad,0.0,Regular
119,11,Tuanon,0.0,The Brady Bunch,0.0,Regular
120,12,Wut da mup,0.0,Team Fjöllin,0.0,Regular
121,12,The Big Chungii,0.0,Clink's Team,0.0,Regular
122,12,I Am Beyonce Always,0.0,The Devil and Daniel Jones,0.0,Regular
123,12,The Billyonaires,0.0,Tuanon,0.0,Regular
124,12,Team Chad,0.0,The Brady Bunch,0.0,Regular
125,13,Wut da mup,0.0,The Billyonaires,0.0,Regular
126,13,Tuanon,0.0,Team Chad,0.0,Regular
127,13,I Am Beyonce Always,0.0,Team Fjöllin,0.0,Regular
128,13,The Devil and Daniel Jones,0.0,The Big Chungii,0.0,Regular
129,13,The Brady Bunch,0.0,Clink's Team,0.0,Regular
130,1,Team Fjöllin,95.32,I Am Beyonce Always,133.84,Regular
131,1,The Big Chungii,99.76,The Billyonaires,86.8,Regular
132,1,Wut da mup,82.16,Team Chad,65.44,Regular
133,1,Clink's Team,78.68,The Brady Bunch,104.56,Regular
134,1,The Devil and Daniel Jones,69.64,Tuanon,123.64,Regular
135,2,The Big Chungii,148.76,Team Fjöllin,138.86,Regular
